type,data-set,entityid,permission,role
RolePrivilege,0,default_data:119,toolsCacheinfoview,toolview
RolePrivilege,0,default_data:120,toolsclusterview,toolview
RolePrivilege,0,default_data:121,toolsinfoview,toolview
RolePrivilege,0,default_data:122,toolsJMXBeansview,toolview
RolePrivilege,0,default_data:123,toolslogview,toolview
RolePrivilege,0,default_data:124,toolsPluginview,toolview
RolePrivilege,0,default_data:125,toolsprofilerview,toolview
RolePrivilege,0,default_data:126,toolsworkqueueview,toolview
RolePrivilege,0,default_data:127,attrmanage,user_admin
RolePrivilege,0,default_data:128,attrview,user_admin
RolePrivilege,0,default_data:129,debugtools,user_admin
RolePrivilege,0,default_data:130,eventmessageview,user_admin
RolePrivilege,0,default_data:131,groupcreate,user_admin
RolePrivilege,0,default_data:132,groupdelete,user_admin
RolePrivilege,0,default_data:133,groupedit,user_admin
RolePrivilege,0,default_data:134,grouptreeview,user_admin
RolePrivilege,0,default_data:135,groupview,user_admin
RolePrivilege,0,default_data:136,holidaymanage,user_admin
RolePrivilege,0,default_data:137,holidayview,user_admin
RolePrivilege,0,default_data:138,regionmanage,user_admin
RolePrivilege,0,default_data:139,regionview,user_admin
RolePrivilege,0,default_data:140,resyncmessage,user_admin
RolePrivilege,0,default_data:141,retrymessage,user_admin
RolePrivilege,0,default_data:142,rolemanage,user_admin
RolePrivilege,0,default_data:143,roleview,user_admin
RolePrivilege,0,default_data:144,scrprmmanage,user_admin
RolePrivilege,0,default_data:145,scrprmview,user_admin
RolePrivilege,0,default_data:146,seczonemanage,user_admin
RolePrivilege,0,default_data:147,skipmessage,user_admin
RolePrivilege,0,default_data:148,soapadmin,user_admin
RolePrivilege,0,default_data:149,usercreate,user_admin
RolePrivilege,0,default_data:150,userdelete,user_admin
RolePrivilege,0,default_data:151,useredit,user_admin
RolePrivilege,0,default_data:152,usereditattrs,user_admin
RolePrivilege,0,default_data:153,usereditlang,user_admin
RolePrivilege,0,default_data:154,usergrantroles,user_admin
RolePrivilege,0,default_data:155,userview,user_admin
RolePrivilege,0,default_data:156,admindatachangeview,superuser
RolePrivilege,0,default_data:157,wsdatachangeedit,superuser
RolePrivilege,0,default_data:158,admindatachangeexec,superuser
RolePrivilege,0,default_data:159,changecontactsubtype,superuser
RolePrivilege,0,default_data:160,changecontactsubtype,contact_subtype
RolePrivilege,0,default_data:161,soapadmin,contact_subtype
RolePrivilege,0,default_data:162,docdelete,superuser
RolePrivilege,0,default_data:163,docview,contact_manager
RolePrivilege,0,default_data:164,docedit,contact_manager
RolePrivilege,0,default_data:165,docdelete,contact_manager
RolePrivilege,0,default_data:166,docview,client_app
RolePrivilege,0,default_data:167,docedit,client_app
RolePrivilege,0,default_data:168,docdelete,client_app
RolePrivilege,0,default_data:169,doccreate,contact_manager
RolePrivilege,0,default_data:170,doccreate,client_app
RolePrivilege,0,default_data:171,doccreate,superuser
RolePrivilege,0,default_data:172,editobfuscatedusercontact,superuser
RolePrivilege,0,default_data:173,editobfuscatedusercontact,data_protection_officer
RolePrivilege,0,default_data:174,useredit,data_protection_officer
RolePrivilege,0,default_data:175,usereditattrs,data_protection_officer
RolePrivilege,0,default_data:176,usereditlang,data_protection_officer
RolePrivilege,0,default_data:177,usergrantroles,data_protection_officer
RolePrivilege,0,default_data:178,userview,data_protection_officer
RolePrivilege,0,default_data:179,userviewall,data_protection_officer
RolePrivilege,0,default_data:180,groupcreate,data_protection_officer
RolePrivilege,0,default_data:181,groupdelete,data_protection_officer
RolePrivilege,0,default_data:182,groupedit,data_protection_officer
RolePrivilege,0,default_data:183,grouptreeview,data_protection_officer
RolePrivilege,0,default_data:184,groupview,data_protection_officer
RolePrivilege,0,default_data:185,requestcontactdestruction,superuser
RolePrivilege,0,default_data:186,requestcontactdestruction,data_protection_officer
